point_id,history_tag,event_type,start_time,end_time,duration_seconds,limit,extreme_value,extreme_time,is_open,message
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-20T10:08:09.250000,2026-08-20T10:52:49.250000,2680.0,39.5,39.6476896203,2026-08-20T10:24:09.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-21T20:27:09.250000,2026-08-21T20:41:29.250000,860.0,38.5,38.4242660759,2026-08-21T20:31:09.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-21T20:45:29.250000,2026-08-21T21:05:09.250000,1180.0,38.5,38.4319409722,2026-08-21T20:50:19.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-27T12:47:19.250000,2026-08-27T12:57:29.250000,610.0,39.5,39.5242558904,2026-08-27T12:53:49.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-27T13:00:49.250000,2026-08-27T13:16:59.250000,970.0,39.5,39.5664917333,2026-08-27T13:06:09.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-28T23:43:19.250000,2026-08-29T00:44:19.250000,3660.0,39.5,39.6070195,2026-08-28T23:58:49.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-29T22:41:09.250000,2026-08-29T23:18:19.250000,2230.0,39.5,39.6162121622,2026-08-29T23:01:29.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-30T02:56:19.250000,2026-08-30T03:10:09.250000,830.0,39.5,39.5297143243,2026-08-30T03:05:29.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-30T19:28:49.250000,2026-08-30T19:43:19.250000,870.0,38.5,38.4174128571,2026-08-30T19:32:49.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-09-01T23:00:29.250000,2026-09-02T00:38:29.250000,5880.0,39.5,39.7970486154,2026-09-01T23:44:19.250000,False,same LIC-217016 rule: high_limit for LIC-117016
